category,name,binomial,description
Froghoppers,,Neophilaenus lineatus,"Neophilaenus can be separated from Philaenus by the straight costal margin in the basal two-thirds of the forewing; there are several UK species. With a length of 5-7mm, Neophilaenus lineatus is identified by the pale line running down the outside edge of the forewing, and by the central, anterior 'plate' on the vertex which is wider than long (the latter feature separating it from the similar, but rare N. longiceps, which is restricted to salt-marshes). The apex of the scutellum is normally dark, and the face has dark transverse lines, and a dark midline. There is a dark form that occurs in certain populations living on purple moor grass Molinia caerulea. A very common grassland species across the UK. Adults are active June to November, sometimes overwintering."
Froghoppers,Green Leaf-hopper,Cicadella viridis,"With a length of 6-8mm, Cicadella viridis is a largish, attractive species which is widespread and common in damp grassy and marshy areas throughout the UK, although they can be encountered in drier areas too. The bicoloured pronotum (yellow at the front and green at the rear) is distinctive. The female's forewings are bright turqoise green, but the male's can be much darker blue-purple and may even appear blackish. The front of the head is pale yellow, with two black spots near the compound eyes. Adults are active July-October. The larvae are yellowish and have two brownish stripes running from head to the end of the abdomen. Cicadella viridis may have one or more generations per year. This species overwinters in the egg stage."
Grasshoppers,Common Field Grasshopper,Chorthippus brunneus,"Chorthippus brunneus, the common field grasshopper, is found throughout the UK, commonly in mostly dry and often sparse grassland, but also in gardens, from the beginning of summer until October. Length 15-25 mm, with a brownish colour, but the colour varies, striped and mottled forms occur with parts of the body varying from buff through orange to purple.Very hairy below the thorax in both sexes. Diet is herbivorous, feeding mainly on grasses. Eggs are laid into the soil. Long season with nymphs hatching from late March. Adults appear from June and may survive until early December. A gregarious species, males can be seen displaying to females by rubbing their legs against their wings to create a 'song' - in this case, it is brief, single chirrup, repeated at short intervals."
Grasshoppers,Meadow Grasshopper,Chorthippus parallelus,"Chorthippus parallelus is typically predominantly green. There is often a dark grey/brown stripe running through the eye and the flanks of the abdomen are usually more or less mottled black or with distinct black bars. The hind femur is typically plain pale brown or greenish above with a herringbone pattern extending down the middle. Like the Field Grasshopper, some rather bizarre colour variations occur in this species; purple specimens are not that uncommon. At maturity, the females wings barely extend halfway down the abdomen. Mature males have longer wings that almost extend to the tip of the abdomen which, at maturity, is brownish. Its life cycle is very similar to that of the Field Grasshopper although the emergence of the nymphs and adult maturity occur slightly earlier. Very common and found in all but the driest grassland sites. Nymphs from late April to June, adults from June until mid November."
Harvestmen,,Lacinius ephippiatus,"The harvestmen most frequently seen are species of Opilio, Odiellus and Leiobunum that live in hedgerows, parks and gardens amongst rough vegetation or on tree trunks, walls and fences. All are moderately large, the body up to about 10 mm long, and more or less brownish in colour. Most species are nocturnal, though often seen resting on walls and fences by day, with legs spread widely and almost invisible. Harvestmen feed on a wide range of living and dead animal matter, mainly comprised of small invertebrates (insect larvae, mites, young spiders, etc., or their dead remains), although they sometimes also attack juicy plant matter, primarily for its water content. More often, though, they obtain water from dewdrops on vegetation. Most species have an annual life cycle, usually passing the winter as eggs and maturing in late summer - hence their common name."
Harvestmen,,Leiobunum rotundum,"The harvestmen most frequently seen are species of Opilio, Odiellus and Leiobunum that live in hedgerows, parks and gardens amongst rough vegetation or on tree trunks, walls and fences. All are moderately large, the body up to about 10 mm long, and more or less brownish in colour. Most species are nocturnal, though often seen resting on walls and fences by day, with legs spread widely and almost invisible. Harvestmen feed on a wide range of living and dead animal matter, mainly comprised of small invertebrates (insect larvae, mites, young spiders, etc., or their dead remains), although they sometimes also attack juicy plant matter, primarily for its water content. More often, though, they obtain water from dewdrops on vegetation. Most species have an annual life cycle, usually passing the winter as eggs and maturing in late summer - hence their common name."
Harvestmen,,Opilio canestrini,"The harvestmen most frequently seen are species of Opilio, Odiellus and Leiobunum that live in hedgerows, parks and gardens amongst rough vegetation or on tree trunks, walls and fences. All are moderately large, the body up to about 10 mm long, and more or less brownish in colour. Most species are nocturnal, though often seen resting on walls and fences by day, with legs spread widely and almost invisible. Harvestmen feed on a wide range of living and dead animal matter, mainly comprised of small invertebrates (insect larvae, mites, young spiders, etc., or their dead remains), although they sometimes also attack juicy plant matter, primarily for its water content. More often, though, they obtain water from dewdrops on vegetation. Most species have an annual life cycle, usually passing the winter as eggs and maturing in late summer - hence their common name."
Mammals,Common Seal,Phoca vitulina,"The smaller of our two seal species, Common Seals (also known as Harbour Seals) are more commonly found around sheltered shores and estuaries, where they haul out on sandbanks and beaches. When out of the water, they sometimes hold their body in a curved 'banana' position, with their head and tail both in the air at the same time. Like Grey Seals, they feed on fish, but also eat squids, whelks, crabs and mussels. The young are born during the summer. Can be distinguished from the Grey Seal by its smaller size and shorter head with a blunter, more dog-like profile. Very variable in colour, from blonde to black, but generally grey with dark spots. Found around the coasts of Scotland, Northern Ireland and eastern England."
Mammals,Fallow Deer,Dama dama,"Fallow deer are the most widespread deer in the UK and can be seen in numerous parks and forests. They are smaller than red deer but bigger than roe deer; however, if their size doesn't give their identity away, their long tail with a black stripe and palmate antlers should be the clinching factors. Fallow deer are sociable creatures, and for most of the year can be seen in two distinct unisex groups. The female (doe) gives birth in June and July and her young remain with her until the following year when the males (bucks), at about 18 months old, are pushed out and join the elder bucks. In spring the bucks start the annual cycle of shedding and regrowing their antlers. The antlers take 4-6 weeks to grow back, depending on the size and age of the animal, but they will be soft until about mid-August, leaving them vulnerable during this period. With their antlers formed and their confidence back, the rutting season will begin."
Mammals,Grey Seal,Halichoerus grypus,"Grey seals have grey and brown fur, sometimes with a pattern of blotches; no ears visible; long muzzle; nostrils parallel; larger and darker than common seal, with flat or convex profile to its head (the common seal has a concave profile). Grey seals around Great Britain are found mainly along exposed rocky northern and western coasts. They also occur in the south west and off the east coast, around the Isle of May and the Farne Islands off Northumberland. Between the tides they haul themselves out on to rocks, usually on uninhabited offshore islands; though some haul-outs are on secluded mainland beaches. Grey seals are gregarious at these haul-outs, sometimes forming large groups of several hundred animals, especially when they are moulting their fur in the spring. They are not, however, very sociable and keep a distance between one another. About two-thirds of greys seals' time is spent at sea where they hunt and feed. In the autumn grey seals congregate at traditional sites on land to breed. The timing of births varies around the coast, beginning in September in West Wales, in October in western Scotland, and as late as November in the Farne Islands. Sand eels and cod are their most important foods, but grey seals are opportunistic feeders and probably take whatever fish are most abundant."
Mammals,Grey Squirrel,Sciurus carolinensis,"Head and body 25-30cm; tail up to 25cm. Back and tail always grey, although flanks sometimes may have a reddish tinge. White undersides. Eats nuts, especially acorns and hazel nuts; other fruits, buds and young twigs; strips bark to eat nutritious tissue below; also eats insects, birds eggs and nestlings, and regularly 'steals' from bird tables and bird feeders. A serious forest pest, also damaging garden and orchard trees. Diurnal, keeping mainly to the trees. Neatly split hazel nut shells and roughly chewed cones litter feeding sites. Mixed woodland, orchards, parks and gardens. A North American animal, introduced to the British Isles late in the 19th century and now common all over England and Wales, where it has largely replaced the native Red Squirrel; less common in Scotland and Ireland."
Millipedes,Striped Millipede,Omnatoiulus sabulosus,"The Striped Millipede, Ommatoiulus sabulosus, is a plump, cylindrical brown millipede that is easily identified by the pair of ginger stripes along its back. It is one of the largest British millipedes. It prefers sandy soils and is often found in the daytime, unlike most other millipedes. It is sometimes found under logs but it also likes to climb and can be seen up walls and in trees, where it also grazes on algae. Present all year round. Like other millipedes it eats dead and decaying vegetation. This species is common and widespread in the UK."
Slugs,Large Black Slug,Arion ater,"Up to about 20cm in length when fully extended, but more usually 10-15cm. Colour ranges from jet black, through chestnut and orange to pale grey and creamy white. Brown and cream forms always have an orange fringe to the sole (see photograph above). There is no keel on the back, but the body is covered with elongated tubercles. When disturbed, the slug contracts into a small hemispherical position and often sways from side to side. Its mucus is extremely sticky. An omnivorous species, eating carrion and dung as well as vegetable matter. It prefers rotting vegetation to living plants and consequently rarely does much harm in the garden. Largely nocturnal, but large numbers have been seen on freshly mown roadside verges feeding on the grass after daytime rain. Clusters of their pearly-white spherical eggs, about 5mm in diameter, are often dug up in the garden and compost heaps. Common throughout the UK."
Slugs,Yellow Slug,Limax flavus,"This is a large yellowish slug which can grow up to 10 cm in length. The body is marbled and mottled in an olive-yellow colour. Its tentacles are blue. It has a central yellow line along the keel which extends from the tail to around half the body length, though may be broken into dashes. It is common and widespread in England, Wales and Ireland. It is mostly associated with houses and gardens - being known to venture indoors especially cellars after dark. Feeds mostly on fungi, decaying matter and vegetables, especially on compost heaps, but also feeds voraciously on seedlings and vegetables so where it does occur on agriculture and horticulture land it can do serious damage."
Woodlice,Common Rough Woodlouse,Porcellio scaber,"Up to 17mm in length, this is probably the commonest species of woodlouse found in the UK, sometimes even showing up in houses. Found throughout the UK, it loves damp, shaded places - lift any large stone, log, or even a pot from your patio and you'll find them, usually feeding on dead plant matter. It is usually grey in colour, but can be mottled with yellow or brown. When viewed under a hand lens you'll see where the ""rough"" name comes from. The upper surface is covered in bumps. If you turn the creature over you'll notice it has two pairs of lungs, which appear as white patches near the tail end. The end of the antennae (the Flagellum) is in two segments. The eyes are composed of a group of shiny black bumps (called 'ocelli')."
Woodlice,Common Shiny Woodlouse,Oniscus asellus,"Oniscus asellus, or the Common Shiny Woodlouse, is one of the largest and most common species of woodlouse in the British Isles and Western and Northern Europe, growing to lengths of 16 mm and widths of 6 mm. They are generally flatter than other large woodlice, and their bodies are usually brownish-black in colour, with paler mottling and very pale edges to their segmental plates. Their carapace is usually rather shiny, while the underside is pale. The species can also be identified by its long pointed telson. Oniscus asellus has a strong exoskeleton and seven pairs of legs, but are born with six pairs. They have antennae that reach about half of their body length, which they use to feel around in their dark environment. The species is particularly fond of rotting wood and are one of the commonest species found under garden logs and stones in their range. They eat vegetables, various types of detritus such as dead plant and animal matter, including rotting wood."
